CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN
001,Aguascalientes,001,Aguascalientes
001,Aguascalientes,002,Asientos
001,Aguascalientes,003,Calvillo
001,Aguascalientes,004,Cosío
001,Aguascalientes,005,Jesús María
001,Aguascalientes,006,Pabellón de Arteaga
001,Aguascalientes,007,Rincón de Romos
001,Aguascalientes,008,San José de Gracia
001,Aguascalientes,009,Tepezalá
001,Aguascalientes,010,El Llano
001,Aguascalientes,011,San Francisco de los Romo
001,Aguascalientes,999,Municipio no especificado
002,Baja California,001,Ensenada
002,Baja California,002,Mexicali
002,Baja California,003,Tecate
002,Baja California,004,Tijuana
002,Baja California,005,Playas de Rosarito
002,Baja California,006,San Quintín
002,Baja California,999,Municipio no especificado
003,Baja California Sur,001,Comondú
003,Baja California Sur,002,Mulegé
003,Baja California Sur,003,La Paz
003,Baja California Sur,008,Los Cabos
003,Baja California Sur,009,Loreto
003,Baja California Sur,999,Municipio no especificado
004,Campeche,001,Calkiní
004,Campeche,002,Campeche
004,Campeche,003,Carmen
004,Campeche,004,Champotón
004,Campeche,005,Hecelchakán
004,Campeche,006,Hopelchén
004,Campeche,007,Palizada
004,Campeche,008,Tenabo
004,Campeche,009,Escárcega
004,Campeche,010,Calakmul
004,Campeche,011,Candelaria
004,Campeche,012,Seybaplaya
004,Campeche,999,Municipio no especificado
005,Coahuila de Zaragoza,001,Abasolo
005,Coahuila de Zaragoza,002,Acuña
005,Coahuila de Zaragoza,003,Allende
005,Coahuila de Zaragoza,004,Arteaga
005,Coahuila de Zaragoza,005,Candela
005,Coahuila de Zaragoza,006,Castaños
005,Coahuila de Zaragoza,007,Cuatro Ciénegas
005,Coahuila de Zaragoza,008,Escobedo
005,Coahuila de Zaragoza,009,Francisco I. Madero
005,Coahuila de Zaragoza,010,Frontera
005,Coahuila de Zaragoza,011,General Cepeda
005,Coahuila de Zaragoza,012,Guerrero
005,Coahuila de Zaragoza,013,Hidalgo
005,Coahuila de Zaragoza,014,Jiménez
005,Coahuila de Zaragoza,015,Juárez
005,Coahuila de Zaragoza,016,Lamadrid
005,Coahuila de Zaragoza,017,Matamoros
005,Coahuila de Zaragoza,018,Monclova
005,Coahuila de Zaragoza,019,Morelos
005,Coahuila de Zaragoza,020,Múzquiz
005,Coahuila de Zaragoza,021,Nadadores
005,Coahuila de Zaragoza,022,Nava
005,Coahuila de Zaragoza,023,Ocampo
005,Coahuila de Zaragoza,024,Parras
005,Coahuila de Zaragoza,025,Piedras Negras
005,Coahuila de Zaragoza,026,Progreso
005,Coahuila de Zaragoza,027,Ramos Arizpe
005,Coahuila de Zaragoza,028,Sabinas
005,Coahuila de Zaragoza,029,Sacramento
005,Coahuila de Zaragoza,030,Saltillo
005,Coahuila de Zaragoza,031,San Buenaventura
005,Coahuila de Zaragoza,032,San Juan de Sabinas
005,Coahuila de Zaragoza,033,San Pedro
005,Coahuila de Zaragoza,034,Sierra Mojada
005,Coahuila de Zaragoza,035,Torreón
005,Coahuila de Zaragoza,036,Viesca
005,Coahuila de Zaragoza,037,Villa Unión
005,Coahuila de Zaragoza,038,Zaragoza
005,Coahuila de Zaragoza,999,Municipio no especificado
006,Colima,001,Armería
006,Colima,002,Colima
006,Colima,003,Comala
006,Colima,004,Coquimatlán
006,Colima,005,Cuauhtémoc
006,Colima,006,Ixtlahuacán
006,Colima,007,Manzanillo
006,Colima,008,Minatitlán
006,Colima,009,Tecomán
006,Colima,010,Villa de Álvarez
006,Colima,999,Municipio no especificado
