ENT,MUN,LOC,AGEB,MZA,SEG,ID_VIV,ID_PERSONA,TIPO_REG,CLASE_VIV,NUMPER,SEXO,EDAD,PARENT,ENT_PAIS_NAC,AFRODES,DHSERSAL1,DHSERSAL2,RELIGION,DIS_VER,DIS_OIR,DIS_CAMINAR,DIS_RECORDAR,DIS_BANARSE,DIS_HABLAR,DIS_MENTAL,HLENGUA,QDIALECT_INALI,HESPANOL,ASISTEN,NIVACAD,ESCOLARI,ALFABET,ESCOACUM,ENT_PAIS_RES_5A,MUN_RES_5A,CAUSA_MIG_V,SITUA_CONYUGAL,CONACT,HIJOS_NAC_VIVOS,HIJOS_FALLECIDOS,TAMLOC,TAMLOC14
21,108,0001,0017,001,N,211080000005,21108000000500001,0,02,00001,1,35,01,032,3,01,,1101,1,1,1,1,1,1,6,3,,,3,11,03,1,15,021,108,,8,10,,,5,13
21,108,0001,0017,001,N,211080000005,21108000000500003,0,02,00003,3,66,06,032,3,09,,1101,1,1,1,1,1,1,6,3,,,3,02,05,1,5,023,009,0301,5,80,11,0,5,13
21,108,0001,0017,001,N,211080000005,21108000000500002,0,02,00002,1,78,06,032,3,09,,1101,2,2,2,1,1,1,6,3,,,3,02,03,1,3,023,009,0301,5,80,,,5,13
14,086,0001,0017,003,N,140860001428,14086000142800003,0,03,00003,3,2,03,001,3,01,,1101,1,1,1,1,1,1,6,,,,,,,,,014,086,,,,,,5,13
14,086,0001,0017,003,N,140860001428,14086000142800001,0,03,00001,3,18,01,001,3,01,,1101,1,1,1,1,1,1,6,3,,,3,03,03,1,9,014,086,,1,10,1,0,5,13
14,086,0001,0017,003,N,140860001428,14086000142800002,0,03,00002,1,21,02,001,3,01,,1101,1,1,1,1,1,1,6,3,,,3,03,03,1,9,014,086,,1,60,,,5,13
14,044,0001,0017,003,N,140440000201,14044000020100001,0,03,00001,1,28,01,001,3,09,,3101,1,1,1,1,1,1,6,3,,,3,03,03,1,9,014,044,,8,10,,,5,13
21,086,0001,0017,004,N,210860000552,21086000055200001,0,02,00001,3,39,01,020,3,01,,1101,1,1,1,1,1,1,6,3,,,3,04,03,1,12,023,009,0102,5,10,4,0,5,13
21,216,0001,0017,006,N,212160000016,21216000001600001,0,02,00001,3,70,01,005,3,01,,1101,2,2,2,2,2,1,6,3,,,3,02,03,1,3,021,216,,2,30,3,1,5,13
21,216,0001,0017,006,N,212160000016,21216000001600002,0,02,00002,1,47,03,001,3,09,,1101,2,2,2,2,2,2,5,3,,,3,04,01,1,10,021,216,,8,70,,,5,13
14,105,0001,0017,008,N,141050000770,14105000077000002,0,02,00002,3,40,02,001,3,01,,1101,1,1,1,1,1,1,6,3,,,3,03,03,1,9,014,105,,5,60,3,0,5,13
14,105,0001,0017,008,N,141050000770,14105000077000005,0,02,00005,1,12,03,001,3,05,,1101,1,1,1,1,1,1,6,3,,,1,02,06,1,6,014,105,,8,50,,,5,13
14,105,0001,0017,008,N,141050000770,14105000077000003,0,02,00003,1,66,07,016,3,09,,1101,1,1,1,1,1,1,6,3,,,3,02,06,1,6,014,105,,3,10,,,5,13
14,105,0001,0017,008,N,141050000770,14105000077000001,0,02,00001,1,40,01,001,3,01,,1101,1,1,1,1,1,1,6,3,,,3,03,03,1,9,014,105,,5,10,,,5,13
14,105,0001,0017,008,N,141050000770,14105000077000004,0,02,00004,3,14,03,001,3,05,,1101,3,1,1,1,1,1,6,3,,,1,03,01,1,7,014,105,,8,50,0,,5,13
21,046,0001,0017,010,N,210460000091,21046000009100001,0,03,00001,1,35,01,011,3,01,,1101,1,1,1,1,1,1,6,3,,,3,03,03,1,9,023,009,0102,1,10,,,5,13
21,046,0001,0017,010,N,210460000091,21046000009100004,0,03,00004,1,14,03,032,3,09,,1101,1,1,1,1,1,1,6,3,,,1,03,02,1,8,023,009,0301,8,50,,,5,13
21,046,0001,0017,010,N,210460000091,21046000009100003,0,03,00003,1,18,08,032,3,01,,1101,1,1,1,1,1,1,6,3,,,3,03,03,1,9,023,009,0101,8,30,,,5,13
21,046,0001,0017,010,N,210460000091,21046000009100002,0,03,00002,3,31,02,032,3,09,,1101,1,1,1,1,1,1,6,3,,,3,03,03,1,9,023,009,0401,1,30,1,0,5,13
14,060,0001,0017,014,N,140600001334,14060000133400001,0,02,00001,1,37,01,221,3,09,,1101,1,1,1,1,1,1,6,3,,,3,04,01,1,10,221,,0301,1,10,,,5,13
14,060,0001,0017,014,N,140600001334,14060000133400002,0,02,00002,3,31,02,001,3,09,,1101,1,1,1,1,1,1,6,3,,,3,03,03,1,9,014,060,,1,10,2,0,5,13
14,108,0001,006A,009,N,141080000317,14108000031700002,0,01,00002,3,34,02,001,3,01,,1101,1,1,1,1,1,1,6,3,,,3,11,04,1,16,014,108,,7,10,0,,5,13
